borrower_id,kaggle_truth_label,disagreement_detected,borda_winner,consensagent_winner,position_change_count,sycophancy_flag_count,trace_bid_raw,raw_tap_overlap_count,raw_duplicate_invocations,raw_keyword_overlap_count,raw_redundancy_index,raw_final_decision,raw_final_correct,controlled_tap_overlap_count,controlled_duplicate_invocations,controlled_keyword_overlap_count,controlled_redundancy_index,controlled_active_leader,controlled_final_decision,controlled_final_correct,overlap_detected,overlap_intensity,remaining_overlap_after_lce,lce_redundancy_reduction,borrower_num,run_id,risk_band,co_occurrence,borda_resolution_fired,resolution_induced_invocations,remaining_invocations_after_lce,co_occurrence_intensity,co_occurrence_group
B001,good,True,approve,approve,2,0,1.169,1,5,3,1.6667,approve,True,1,2,2,0.6667,RouterManager,approve,True,True,1.6667,0.6667,1.0,1,interaction_B001,low,True,True,5,2,1.6667,high_co_occurrence_intensity
B002,bad,True,approve,approve,1,1,5.951,1,3,1,1.0,approve,False,1,0,0,0.0,CreditAgent,approve,False,True,1.0,0.0,1.0,2,interaction_B002,high,True,True,3,0,1.0,high_co_occurrence_intensity
B003,good,True,approve,approve,0,0,2.096,1,4,2,1.3333,approve,True,1,0,0,0.0,ComplianceAgent,approve,True,True,1.3333,0.0,1.3333,3,interaction_B003,low,True,True,4,0,1.3333,high_co_occurrence_intensity
B004,good,True,refer,approve,4,0,7.882,1,4,2,1.3333,approve,True,1,0,0,0.0,SummariserAgent,approve,True,True,1.3333,0.0,1.3333,4,interaction_B004,high,True,True,4,0,1.3333,high_co_occurrence_intensity
B005,bad,True,refer,approve,5,1,4.87,1,2,0,0.6667,approve,False,1,1,1,0.3333,RouterManager,approve,False,True,0.6667,0.3333,0.3334,5,interaction_B005,medium,True,True,2,1,0.6667,low_co_occurrence_intensity
B006,good,True,approve,approve,2,0,9.055,1,5,3,1.6667,approve,True,1,1,1,0.3333,FraudAgent,approve,True,True,1.6667,0.3333,1.3334000000000001,6,interaction_B006,high,True,True,5,1,1.6667,high_co_occurrence_intensity
B007,good,True,approve,approve,2,1,2.835,1,3,1,1.0,approve,True,1,1,1,0.3333,SummariserAgent,approve,True,True,1.0,0.3333,0.6667000000000001,7,interaction_B007,medium,True,True,3,1,1.0,high_co_occurrence_intensity
B008,good,True,refer,reject,4,0,6.948,1,3,1,1.0,approve,True,1,1,1,0.3333,FraudAgent,approve,True,True,1.0,0.3333,0.6667000000000001,8,interaction_B008,high,True,True,3,1,1.0,high_co_occurrence_intensity
B009,good,True,approve,approve,3,1,3.059,1,4,2,1.3333,approve,True,1,4,4,1.3333,ComplianceAgent,approve,True,True,1.3333,1.3333,0.0,9,interaction_B009,medium,True,True,4,4,1.3333,high_co_occurrence_intensity
B010,bad,True,approve,approve,4,1,5.234,1,2,0,0.6667,approve,False,1,0,0,0.0,RouterManager,approve,False,True,0.6667,0.0,0.6667,10,interaction_B010,high,True,True,2,0,0.6667,low_co_occurrence_intensity
B011,bad,True,approve,approve,3,0,1.295,1,2,0,0.6667,approve,False,1,1,1,0.3333,SummariserAgent,approve,False,True,0.6667,0.3333,0.3334,11,interaction_B011,low,True,True,2,1,0.6667,low_co_occurrence_intensity
B012,bad,True,refer,approve,4,0,4.308,1,5,3,1.6667,approve,False,1,1,1,0.3333,FraudAgent,approve,False,True,1.6667,0.3333,1.3334000000000001,12,interaction_B012,medium,True,True,5,1,1.6667,high_co_occurrence_intensity
B013,good,True,approve,approve,5,2,1.567,1,3,1,1.0,approve,True,1,0,0,0.0,FraudAgent,approve,True,True,1.0,0.0,1.0,13,interaction_B013,low,True,True,3,0,1.0,high_co_occurrence_intensity
B014,bad,True,refer,approve,4,1,1.199,1,2,0,0.6667,approve,False,1,1,1,0.3333,RouterManager,approve,False,True,0.6667,0.3333,0.3334,14,interaction_B014,low,True,True,2,1,0.6667,low_co_occurrence_intensity
B015,good,True,approve,approve,3,1,1.403,1,6,4,2.0,approve,True,1,2,2,0.6667,RouterManager,approve,True,True,2.0,0.6667,1.3333,15,interaction_B015,low,True,True,6,2,2.0,high_co_occurrence_intensity
B016,bad,True,approve,approve,2,1,1.282,1,3,1,1.0,approve,False,1,2,2,0.6667,SummariserAgent,approve,False,True,1.0,0.6667,0.33330000000000004,16,interaction_B016,low,True,True,3,2,1.0,high_co_occurrence_intensity
B017,good,True,approve,approve,4,1,2.424,1,2,0,0.6667,approve,True,1,0,0,0.0,RouterManager,approve,True,True,0.6667,0.0,0.6667,17,interaction_B017,medium,True,True,2,0,0.6667,low_co_occurrence_intensity
B018,good,True,refer,approve,5,1,8.072,1,3,1,1.0,approve,True,1,2,2,0.6667,RouterManager,approve,True,True,1.0,0.6667,0.33330000000000004,18,interaction_B018,high,True,True,3,2,1.0,high_co_occurrence_intensity
B019,bad,True,approve,approve,4,1,12.579,1,5,3,1.6667,approve,False,1,0,0,0.0,RouterManager,approve,False,True,1.6667,0.0,1.6667,19,interaction_B019,high,True,True,5,0,1.6667,high_co_occurrence_intensity
B020,good,True,refer,approve,6,0,3.43,1,3,1,1.0,approve,True,1,1,1,0.3333,RouterManager,approve,True,True,1.0,0.3333,0.6667000000000001,20,interaction_B020,medium,True,True,3,1,1.0,high_co_occurrence_intensity
